filename,label,pred,caption,n_tags,likes
39100754_1947549882212112_4052821742840709120_n.jpg,0,1,"pav bhaji originated in the 1850s as a fast lunchtime dish for textile mill workers in Mumbai.. latter become the favorite evening snack for half of the indian population. 
#pavbhaji #bangalorestreetfood #kidsfavorite #indianstreetfood #foodie #foodlover #Foodblogger #FoodPics #foodporn #foodgasm #foodoftheday",11,9
39232779_2140990119483719_8959879568521428992_n.jpg,0,1,"Pav bhaji loaded with butter 😋😋 _____

Sardar pav bhaji, bombay central, Mumbai

_____

#butter #pavbhaji #cheese #loveforbutter #food #foodie #foodstagram #foodpics #foodislife #foodgram #foodgramindia #foodblog #foodblogger #foodporn",14,171
39168705_522874018177808_6062386479068348416_n.jpg,0,1,Ever thought of Pav Bhaji Pasta? Head to @bittybatter to indulge in to this epic fusion dish. It's scrumptious 😋. #pasta #pavbhaji #desifood #indianfoodie #foodofmumbai #mumbaifoodies #foodgasm #foodsnap #mumbaifoodlovers #mumbai #instafood #thingstoeatinmumbai #things2doinmumbai #streetfood #indianstreetfood,15,112
39199919_1577043595733420_8408115226062356480_n.jpg,0,1,#pavbhaji #firsttry #cameoutprettygood #homecooking #indianinnyc #vegetarianrecipes #mumbaistreetfoodathome,7,62
38931043_282799438989353_8804605870726971392_n.jpg,0,1,"For all the pav bhaji lovers out there, @mumbai.77 has this sizzling “Cheese Pav Bhaji Fondue” which is delicious to another level ! 😋💯 #shoutoutforshoutout #pavbhaji #fondue #cheese🧀#foodblogger #foodforthought #foodstagram #fooddreamer #foodonmymindallthetime #24hoursfood #foodism #foodista #cravings #lovefood 🤗 #foodphotography #fooddecoration #googleguide",17,32
39851009_258063608370030_1983295779942432768_n.jpg,0,1,"My all time obsession, “PavBhaji and love for Blue”
.
#indianfood #pavbhaji #indiancuisine #cookandeat #memorableweekend #blue #crocery #goodfood #healthyfood #guidelines #curves #foodphotography #foodphotographer #foodfood #foodgasm #food #cooking #foodstagram #eatandtreats #eatrepeat #iphonephotography #mchaitaliphotography",22,53
38934837_544680209282886_8523134090620887271_n.jpg,0,1,"Back with another food challenge: Pav Bhaji Challenge with my Sister | Pav Bhaji Eating Challenge with Punishment...
https://youtu.be/bf0eIgTvm0c
Watch this fun food challenge by clicking on the link in bio...
#pavbhaji #pavbhajichallenge #pavbhajitime #pavbhajieating #pavbhajilove #pavbhajilover #pavbhajimasala #pavbhajiparty #pavbhajinight #pavbhajilovers #pavbhajicravings #pavbhajispecial #butterpavbhaji #butterpav #butterbhaji #pavbhajitreat #pavbhajiforlife #pavbhajiisbae #pavbhajirecipe #eatingchallenge #foodchallenge #eatingcompetition #streetfood #indianstreetfood 
Pav bhaji by @healthjuicecentre.india @healthjuicecentre",24,43
39017380_491834734621679_5536168980043005952_n.jpg,0,1,"Pav bhaji!!
#mouthwatering #clicks📷 #cravings #cold #foody #followforfollowback #filtered #foooooooods #foodporn😍 #foodies_goal #foodies #hungers #health #hungerout😍 #healthyeating😜 #heavens #healthylifestyle #happyeating🍴 #healthyfood #hungerforever #pav  #bhaji #pavbhaji",23,20
39226646_1792661450851874_8522777383848116224_n.jpg,0,1,"I hate pizza said no one ever.

Picture: Pav bhaji pizza at @thechefsisters_mumbai

Follow @girlsonafoodspree for more such delicious food updates.
DM us to get featured on our page or use #girlsonafoodspree © 2018. Girls on a food spree. All rights reserved. Please DM us before sharing our content.",1,218
39061589_530258890744698_7615918923610849280_n.jpg,0,1,"Mini Pizza 
Special Pav bhaji Pizza
@bittybatter 
#food 
#pizza 
#foodphotography 
#rajasfuladiphotography 
#photography 
#snapseed 
#instafood 
#mumbaifoodlovers 
#tasty 
#cheese 
#pavbhaji 
#blogger 
#foodblogger 
#instagram",14,79
39372363_279004686263164_8561472037002936320_n.jpg,0,1,"I donno what I miss more- my Boo or the Vada Pav he’s holding! 
PC: @nitesh_thakuur .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#vadapav #mumbaifood #indianfood #streetfood #food #foodpics #foodphotography #blogger #foodblogger #handsinframe #nature #tasteofindia #happy #eeeeeats #nomnom #loveforfood #foodlover #pavbhaji #contestalert #giveaway #followforfollowback #potd #instagood #picoftheday #likeforfollow #indiancuisine #instapic",27,215
37921380_267107630787910_4491285621125414912_n.jpg,0,1,📸@dilli_ke_pakwan Keema Pav,0,18
40104017_739359253122887_4805401799529857024_n.jpg,0,1,".PAAV BHAJI .Paav Bhaji is one of the most famous street food in mumbai,consisting of a thick vegetable curry, fried and served with a soft bread roll(Paav).
.
.
.
.
.
.
.
.
.
.
.
.
.
#pavbhaji#buttery#spice#papad#streetfood#mumbaifood#mouthwatering#yummy#blog#taste#foodislife",11,29
38835536_239392516777735_5771588674546302976_n.jpg,0,1,#bombaytimes #misal #vadapav #pavbhaji superb #mumbaistreetfood in #dubai must go✌️✌️✌️,6,44
38792559_239683846691965_7792221086095805510_n.jpg,0,1,"One of our most interesting and intriguing dishes which always leaves our customers in curiosity and delight - Carbon Pav Bhaji with Carbon Pav, do try it out.

#PavBhaji #Unique #Food #Drinks #Restaurant #Balewadi #BalewadiHighStreet #Pune",8,76
39119199_232766184070799_6481362295434772480_n.jpg,0,1,"Masala pav 
To get featured your photography that defines india use our official hashtag #indie_diaries 
#indie_diary #india #indian #_moi #_soi #storiesofindia #travelrealindia #indiagram #food #foodphotography #foodblogger #food52 #food52 #indianfood #pavbhaji #pavbhaji😋 #pavbhajifondue #instagood #ilovefood 
#ilovefoodtoomuch #ilovefoods #pav #pavbhajilover",22,23
39092993_336371350439907_659244138104881152_n.jpg,0,1,"Its 9:01pm.
Pav bhaji had been my love since ever ⭐️
#living247
#northindian #buzzfeedfood #feedfeed #huffposttaste
#foodprnshare#f52gram #foodphotography #foodstagram #eatfayymous #goodenergy #hytappyutummy #foodie #picoftheday #foodporn #hufflepuffpride #tagsforlikyes #eatingfortheinsta #nomnom #instagood #foodblogger #likeme #vscofood #food #goodnight #pavbhaji 😁",26,141
